mpg, cylinders, cubicinches, hp, weightlbs, time-to-60, year,Make
14,8,350,165,4209,12,1972,Tata
31.9,4,89,71,1925,14,1980,Tata
17,8,302,140,3449,11,1971,Tata
15,8,400,150,3761,10,1971,Tata
30.5,4,98,63,2051,17,1978,Tata
23,8,350,125,3900,17,1980,Tata
13,8,351,158,4363,13,1974,Datsun
14,8,440,215,4312,9,1971,Datsun
25.4,5,183,77,3530,20,1980,Datsun
37.7,4,89,62,2050,17,1982,Datsun
34,4,108,70,2245,17,1983,Datsun
34.3,4,97,78,2188,16,1981,Datsun
16,8,302,140,4141,14,1975,Renault
11,8,350,180,3664,11,1974,Renault
19.1,6,225,90,6466,19,1981,Renault
16.9,8,350,155,4360,15,1980,Renault
31.8,4,85,65,2020,19,1980,Renault
16,8,304,150,3433,12,1971,Renault
24,4,113,95,2278,16,1973,Renault
24,4,107,90,2430,15,1971,Renault
37.2,4,86,65,2019,16,1981,Renault
21.5,4,121,110,2600,13,1978,Renault
24,6,200,81,3012,18,1977,Renault
15.5,8,351,142,4054,14,1980,Renault
38.1,4,89,60,1968,19,1981,Maruti Suzuki
33,4,91,53,1795,17,1977,Maruti Suzuki
31,4,71,65,1773,19,1972,Maruti Suzuki
14,8,351,148,4657,14,1976,Maruti Suzuki
18,6,250,78,3574,21,1977,Maruti Suzuki
29.9,4,98,65,2380,21,1982,Maruti Suzuki
27,4,97,88,2130,15,1971,Maruti Suzuki
16,6,250,100,3278,18,1974,Maruti Suzuki
23,4,120,97,2506,15,1973,Maruti Suzuki
21,6,199,90,2606,15,1971,Maruti Suzuki
30,4,97,67,1985,16,1978,Maruti Suzuki
22.4,6,231,110,3415,16,1982,Datsun
26,4,97,46,1835,21,1971,Datsun
21.5,3,80,110,2720,14,1978,Datsun
16.5,8,351,138,3955,13,1980,Datsun
20.2,6,232,90,3265,18,1980,Datsun
16,6, ,105,3897,19,1976,Datsun
14,8,302,140,4638,16,1975,Datsun
18.5,6,250,110,3645,16,1977,Datsun
17.5,6,250,110,3520,16,1978,Datsun
14,8,455,225,3086,10,1971,Maruti Suzuki
31.6,4,120,74,2635,18,1982,Maruti Suzuki
13,8,318,150,3755,14,1977,Hyundai
22,4,122,86,2395,16,1973,Hyundai
29,4,97,78,1940,15,1978,Hyundai
20.2,6,200,88,3060,17,1982,Hyundai
13,8,400,150,4464,12,1974,Hyundai
27.2,4,141,71,3190,25,1980,Hyundai
14,8,340,160,3609,8,1971,Hyundai
24,4,116,75,2158,16,1974,Hyundai
16.5,8,350,180,4380,12,1977,Tata
16,8,400,230,4278,10,1974,Tata
19,6,156,108,2930,16,1977,Tata
33.5,4,98,83,2075,16,1978,Tata
29,4,90,70,1937,14,1977,Tata
13,8,360,175,3821,11,1974,Tata
18,6,232,100,2945,16,1974,Tata
22,4,108,94,2379,17,1974,Tata
32.7,6,168,132,2910,11,1981,Maruti Suzuki
46.6,4,86,65,2110,18,1981,Maruti Suzuki
14,8,318,150,4237,15,1974,Maruti Suzuki
18.5,6,250,98,3525,19,1978,Maruti Suzuki
26,4,97,46,1950,21,1974,Maruti Suzuki
32,4,91,67,1965,16,1983,Maruti Suzuki
